idx,fname,mae_sample,maxae_sample,abs_err_c12,abs_err_c1e,abs_err_c1t,abs_err_c1b,abs_err_c1d2
1,,0.011784470000000002,0.028087530000000006,0.028087530000000006,0.01774482,0.00579401,0.0052029,0.0020930899999999997
2,,0.012425424000000003,0.04208750000000001,0.04208750000000001,0.00419399,0.00111565,0.01103176,0.0036982200000000003
3,,0.009609898000000002,0.022152960000000006,0.022152960000000006,0.00880341,0.01011334,0.00629964,0.0006801400000000001
4,,0.010604104,0.03516019,0.03516019,0.006875490000000001,0.00618887,0.0013947,0.0034012700000000005
5,,0.004304888000000001,0.0071468899999999995,0.00235196,0.0071468899999999995,0.00536146,0.00107154,0.005592590000000001
6,,0.0050018300000000005,0.0136433,0.003852669999999999,0.0136433,0.00193348,0.00542851,0.0001511900000000007
7,,0.004766596,0.01633614,0.00253248,0.0014690299999999996,0.01633614,0.00193951,0.00155582
8,,0.0051221719999999995,0.0102891,0.0043328399999999975,0.00435842,0.0102891,0.00457218,0.00205832
9,,0.008908000000000001,0.013245070000000001,0.007571029999999999,0.013245070000000001,0.00080437,0.01112362,0.01179591
10,,0.0049101200000000005,0.005807059999999999,0.00334159,0.0048966800000000005,0.00571124,0.00479403,0.005807059999999999
11,,0.006101012,0.01847994,0.0036745999999999992,0.00014307999999999986,0.01847994,0.005413319999999999,0.00279412
12,,0.006102761999999999,0.014295889999999999,0.004315970000000001,0.014295889999999999,0.00645333,0.00486585,0.0005827699999999998
13,,0.005886404,0.00847845,0.00527115,0.0039445,0.00558459,0.00847845,0.00615333
14,,0.0015484460000000002,0.00716472,0.00716472,0.00015773999999999996,7.741e-05,8.741000000000044e-05,0.0002549500000000003
15,,0.005084244,0.01009159,0.0008785199999999998,0.00698858,0.01009159,0.00536839,0.0020941399999999995
16,,0.005318048,0.01180726,0.00385048,0.0019396700000000001,0.00448588,0.01180726,0.004506949999999999
17,,0.008123056,0.0169582,0.013736440000000003,0.00375129,0.00528062,0.0008887300000000001,0.0169582
18,,0.010451642,0.023271929999999996,0.023271929999999996,0.00499544,0.00681518,0.0059887099999999995,0.01118695
19,,0.005520870000000002,0.012770650000000008,0.012770650000000008,0.0024681500000000006,0.00452118,0.00100008,0.006844289999999999
20,,0.007568419999999999,0.02360312,0.02360312,0.0036067900000000003,0.00023844,0.0003196499999999999,0.010074099999999999
21,,0.005723026000000001,0.012984510000000005,0.012984510000000005,0.00382238,0.00676024,0.00024748999999999995,0.00480051
22,,0.0049931479999999985,0.011990379999999995,0.011990379999999995,0.0022559099999999994,0.00630248,0.0007020500000000005,0.00371492
23,,0.007371878,0.023811890000000002,0.023811890000000002,0.00368983,0.00199795,0.0031249100000000003,0.0042348099999999994
24,,0.006721147999999999,0.012773269999999996,0.012773269999999996,0.0040815899999999995,0.0043764,0.00932304,0.00305144
25,,0.009858364,0.02589113,0.02589113,0.00650342,0.00090422,0.013625230000000002,0.0023678199999999996
26,,0.00975202,0.023683580000000003,0.023683580000000003,0.008729800000000001,0.01030887,0.0005294799999999997,0.0055083699999999985
27,,0.010005645999999998,0.02324101,0.02324101,0.00830536,0.000338,0.00740439,0.01073947
28,,0.005730346,0.015377249999999999,0.015377249999999999,2.059999999999996e-05,0.00766627,0.00537604,0.00021156999999999947
29,,0.008786328000000001,0.02151575,0.02151575,0.00773663,0.01089865,0.00060217,0.003178440000000001
30,,0.00680447,0.01506475,0.01506475,0.0014171000000000001,0.00955977,0.00336347,0.004617259999999998
31,,0.010246762000000001,0.01945383,0.01945383,0.00536655,0.00692353,0.01141293,0.008076970000000001
32,,0.007288942,0.018314959999999998,0.018314959999999998,0.00229773,0.00414178,0.01023933,0.0014509099999999997
