idx,fname,mae_sample,maxae_sample,abs_err_c12,abs_err_c1e,abs_err_c1t,abs_err_c1b,abs_err_c1d2
1,,0.0037465360000000017,0.00675262,0.0023889600000000094,0.00467746,0.00675262,0.0023394799999999997,0.00257416
2,,0.003817242000000001,0.007602380000000006,0.007602380000000006,0.00138629,0.00342674,0.00206856,0.0046022400000000005
3,,0.001452998000000001,0.00509063,0.0002037700000000059,2.267999999999975e-05,0.00099219,0.00509063,0.0009557199999999993
4,,0.0018055120000000015,0.004157000000000008,0.004157000000000008,0.00143247,0.00118697,0.000939,0.00131212
5,,0.005504507999999998,0.0071632200000000005,0.00665455999999999,0.00079422,0.00619502,0.0071632200000000005,0.006715520000000001
6,,0.006641314,0.01326766,0.002414269999999996,0.00453901,0.01211036,0.00087527,0.01326766
7,,0.004922763999999999,0.0072184,0.006152979999999995,0.0016439599999999999,0.0072184,0.00453294,0.00506554
8,,0.006839532000000001,0.013412440000000005,0.013412440000000005,0.00141232,0.00692483,0.00341855,0.00902952
9,,0.004664852,0.008264210000000001,0.008264210000000001,0.00249778,0.00532199,0.0053963,0.0018439800000000003
10,,0.005805222,0.01614342,0.01614342,0.0022959600000000005,0.00180249,0.0011177,0.00766654
11,,0.0051236960000000005,0.008919980000000001,0.008919980000000001,0.00393094,0.00188792,0.00840781,0.0024718300000000004
12,,0.0077616640000000015,0.013360900000000002,0.013360900000000002,0.0044198300000000005,0.0117559,0.0074030499999999996,0.0018686400000000013
13,,0.002039558,0.0029313199999999994,0.002267110000000001,0.00248732,0.00115762,0.0013544200000000003,0.0029313199999999994
14,,0.0032864700000000005,0.00579084,0.0010638699999999997,0.00296859,0.00579084,0.0013726200000000006,0.00523643
15,,0.0025570059999999997,0.00390248,0.00213464,0.00246313,0.00096912,0.003315659999999999,0.00390248
16,,0.003785932,0.00617964,0.0003429399999999999,0.00617964,0.00495501,0.0014893300000000005,0.005962739999999999
17,,0.004596726,0.0078017799999999995,0.00151278,0.00501813,0.00745078,0.0012001599999999996,0.0078017799999999995
18,,0.004329896,0.0076088300000000005,0.0028638299999999995,0.00245936,0.00632773,0.0023897299999999996,0.0076088300000000005
19,,0.003991042,0.0076683,0.0076683,0.00018391999999999974,0.00155482,0.0030859800000000003,0.007462189999999999
20,,0.002412304,0.00423074,0.0007395800000000001,0.0039261,0.00423074,0.0020241200000000008,0.0011409799999999998
21,,0.0029388380000000005,0.00829966,0.00829966,0.00123083,0.00137348,0.00028323000000000063,0.0035069900000000015
22,,0.002715888,0.00449453,0.0010843399999999996,0.00449453,0.00272372,0.0015386400000000008,0.0037382100000000005
23,,0.0043679899999999995,0.008969709999999999,0.008969709999999999,0.0059635,0.0032419,0.0018448299999999996,0.0018200099999999986
24,,0.00395737,0.00702084,0.0026714399999999998,0.00253398,0.00450493,0.003055659999999999,0.00702084
25,,0.004549730000000001,0.007374719999999998,0.004339850000000006,0.0013158500000000004,0.00560286,0.00411537,0.007374719999999998
26,,0.0023359540000000003,0.0046708900000000005,0.0017558000000000018,0.0042733,0.00047702,0.0005027600000000001,0.0046708900000000005
27,,0.004086895999999998,0.0074204200000000005,0.005174229999999988,0.00046856999999999975,0.00302484,0.00434642,0.0074204200000000005
