idx,fname,mae_sample,maxae_sample,abs_err_c12,abs_err_c13,abs_err_c1e,abs_err_c1tr,abs_err_c1tl,abs_err_c1br,abs_err_c1bl
1,,0.007911862857142857,0.01770123,0.014790310000000001,0.01770123,0.0022632300000000006,0.00283194,0.00361388,0.0014819300000000002,0.01270052
2,,0.006469272857142859,0.02276783,0.01145923,0.02276783,0.0013703600000000002,0.00129946,0.00341356,0.001582720000000001,0.0033917500000000007
3,,0.005157098571428572,0.019176059999999995,0.019176059999999995,0.005555459999999998,0.00335665,0.00262507,0.00134695,0.0014665500000000005,0.002572950000000001
4,,0.004562387142857142,0.014192669999999998,0.014192669999999998,0.005954499999999998,0.00531918,0.00233001,0.00230667,0.0006079499999999995,0.0012257300000000013
5,,0.006329521428571429,0.012923770000000001,0.012503400000000005,0.012923770000000001,0.00764194,0.00453025,0.00153015,0.0027201099999999995,0.0024570300000000024
6,,0.006931632857142856,0.016428639999999998,0.016133750000000002,0.016428639999999998,0.00429571,0.00200031,0.00362941,0.0032659099999999995,0.002767699999999998
7,,0.0056427785714285705,0.01496343,0.01496343,0.00538174,0.00135081,0.00652179,0.0069622,6.771000000000034e-05,0.0042517699999999985
8,,0.005925514285714286,0.01746367,0.01746367,0.002099,0.00150848,0.00814913,0.00354927,0.005312590000000001,0.0033964600000000005
9,,0.007476272857142857,0.018908220000000003,0.007491949999999997,0.018908220000000003,2.2889999999999803e-05,0.00483754,0.00534095,0.003367160000000001,0.0123652
10,,0.008304405714285715,0.028688509999999997,0.017770470000000003,0.028688509999999997,0.00169023,0.00165065,0.00762367,0.00022976000000000073,0.00047754999999999846
11,,0.005240964285714286,0.009846769999999998,0.00915552,0.009846769999999998,0.0014614200000000002,0.00481848,0.00087988,0.00515318,0.005371500000000001
12,,0.006353047142857142,0.020947069999999998,0.020947069999999998,0.007471599999999998,0.00659354,0.00113784,0.0030278,0.0028483799999999993,0.0024450999999999987
13,,0.007335117142857143,0.01416229,0.013235499999999997,0.01416229,0.0015545800000000003,0.001385,0.00840031,0.0083938,0.0042143400000000004
14,,0.006137724285714285,0.01279286,0.01279286,0.010900380000000001,0.0026255000000000002,0.0033911,0.00020736,0.006196720000000001,0.006850150000000001
15,,0.007541165714285712,0.017561929999999996,0.017561929999999996,0.006659979999999999,0.004786049999999999,0.00618546,0.01018814,0.00326973,0.004136869999999997
16,,0.0049123299999999995,0.01108911,0.01108911,0.00127999,0.0014793200000000001,0.0099139,0.0029,0.0018611999999999986,0.00586279
17,,0.008646228571428572,0.024378900000000002,0.020098829999999998,0.024378900000000002,0.00015514999999999995,0.00185265,0.00469758,0.0012508799999999994,0.00808961
18,,0.007244441428571428,0.02056847,0.01694169,0.02056847,0.00030156,0.00187079,0.00114145,0.003197290000000002,0.0066898400000000025
19,,0.0041142900000000005,0.01628673,0.01628673,0.00191529,0.0009164399999999999,0.00103108,0.00058002,0.0056954100000000014,0.00237506
20,,0.004508637142857144,0.01583785,0.01583785,0.004341870000000001,0.00115445,0.00310352,0.00062745,0.00522243,0.0012728900000000005
21,,0.006027877142857143,0.01352979,0.01236675,0.01352979,0.0017708800000000003,0.00032367,0.00652804,0.007151420000000002,0.0005245899999999984
22,,0.0075890528571428565,0.01903971,0.01903971,0.01154252,0.00181215,0.00196374,0.00512204,0.006145339999999999,0.007497869999999997
23,,0.009756654285714287,0.01580697,0.01580697,0.007506250000000001,0.00817644,0.00987669,0.01185506,0.01004031,0.005034859999999999
24,,0.008057598571428572,0.0185817,0.0185817,0.01030737,0.00461427,0.00774355,0.00615667,0.0025775599999999996,0.0064220699999999985
25,,0.00823013,0.011617240000000001,0.00428258,0.011617240000000001,0.0036722400000000002,0.00843723,0.01026716,0.011288570000000001,0.008045890000000002
26,,0.007836254285714286,0.01361764,0.00153234,0.01361764,0.00401243,0.01034879,0.0113853,0.01200478,0.0019524999999999994
27,,0.007226637142857143,0.01799026,0.00081503,0.01799026,0.00242875,0.0057014,0.00554488,0.00919926,0.00890688
28,,0.0058182028571428564,0.016067969999999997,0.0003246200000000001,0.016067969999999997,0.0016716500000000002,0.00427146,0.00814677,0.005776669999999998,0.004468279999999998
29,,0.005451008571428572,0.013152729999999998,0.00394066,0.013152729999999998,0.00166278,0.00942369,0.00253785,0.0036987500000000006,0.0037406
30,,0.005062658571428571,0.010689230000000001,0.0013277900000000001,0.010689230000000001,0.00133425,0.00255515,0.00342474,0.007087050000000001,0.0090204
31,,0.007553115714285715,0.01442287,0.00455301,0.00976061,0.00581848,0.01442287,0.00651129,0.007079490000000001,0.004726060000000001
32,,0.007866532857142857,0.01246362,0.00435737,0.009892229999999998,0.004193280000000001,0.01246362,0.00482863,0.009357460000000001,0.009973139999999998
33,,0.009914618571428573,0.02774261,0.02072322,0.02774261,0.0021486099999999996,0.00601146,0.00049083,0.00345874,0.00882686
34,,0.008386485714285715,0.025762359999999998,0.01679932,0.025762359999999998,0.0017087,0.00161722,0.00268581,0.00379496,0.0063370300000000004
35,,0.00575989142857143,0.023978770000000003,0.023978770000000003,0.002737040000000003,0.00280165,0.00347215,0.00255484,0.0008281499999999997,0.0039466399999999995
