type,idx,fname,mae_sample,maxae_sample,abs_err_c12,abs_err_c13,abs_err_c1e,abs_err_c1tr,abs_err_c1tl,abs_err_c1br,abs_err_c1bl,abs_err_c1t,abs_err_c1b,abs_err_c1d2
type1,54,,0.007198152857142857,0.01647725,0.01647725,0.014374669999999999,0.00184026,0.00163956,0.00087757,0.00492629,0.010251469999999999,,,
type1,55,,0.008586008571428572,0.0118938,0.0118938,0.0107475,0.00789466,0.00529276,0.0071221,0.007541059999999999,0.009610180000000003,,,
type1,56,,0.00845421857142857,0.01587666,0.0149659,0.01587666,0.0033053699999999997,0.00526955,0.00627577,0.0034753000000000006,0.01001098,,,
type1,57,,0.007684774285714285,0.01316883,0.00124778,0.01316883,0.00700354,0.01104831,0.00667018,0.008296739999999997,0.006358039999999999,,,
type1,58,,0.008170421428571429,0.017721010000000002,0.0019923700000000003,0.017721010000000002,0.0047903,0.01087172,0.00901444,0.01091516,0.001887950000000001,,,
type1,59,,0.006149319999999999,0.01717162,0.0024633500000000004,0.01717162,0.0022103599999999998,0.00908488,0.00383448,0.007341230000000001,0.0009393200000000004,,,
type1,60,,0.005892479999999999,0.016620969999999995,0.0002734199999999999,0.016620969999999995,0.00225502,0.00641007,0.00553851,0.008394119999999998,0.0017552499999999999,,,
type1,61,,0.005808332857142856,0.01511442,0.00471887,0.01511442,0.00293572,0.00838447,0.00110113,0.0026621000000000006,0.005741619999999999,,,
type1,62,,0.005981537142857142,0.016756609999999998,0.00343826,0.016756609999999998,0.00052822,0.00342422,0.00088776,0.0034264499999999976,0.013409240000000001,,,
type1,63,,0.006649112857142858,0.01077824,0.0014550899999999998,0.01077824,0.00623633,0.00780732,0.00636055,0.0032622400000000065,0.010644020000000004,,,
type1,64,,0.007871557142857144,0.013055720000000003,0.00446707,0.01213838,0.0022540399999999997,0.00986244,0.00795588,0.005367370000000003,0.013055720000000003,,,
type2,1,,0.0037465360000000017,0.00675262,0.0023889600000000094,,0.00467746,,,,,0.00675262,0.0023394799999999997,0.00257416
type2,2,,0.003817242000000001,0.007602380000000006,0.007602380000000006,,0.00138629,,,,,0.00342674,0.00206856,0.0046022400000000005
type2,3,,0.001452998000000001,0.00509063,0.0002037700000000059,,2.267999999999975e-05,,,,,0.00099219,0.00509063,0.0009557199999999993
type2,4,,0.0018055120000000015,0.004157000000000008,0.004157000000000008,,0.00143247,,,,,0.00118697,0.000939,0.00131212
type2,5,,0.005504507999999998,0.0071632200000000005,0.00665455999999999,,0.00079422,,,,,0.00619502,0.0071632200000000005,0.006715520000000001
type2,6,,0.006641314,0.01326766,0.002414269999999996,,0.00453901,,,,,0.01211036,0.00087527,0.01326766
type2,7,,0.004922763999999999,0.0072184,0.006152979999999995,,0.0016439599999999999,,,,,0.0072184,0.00453294,0.00506554
type2,8,,0.006839532000000001,0.013412440000000005,0.013412440000000005,,0.00141232,,,,,0.00692483,0.00341855,0.00902952
type2,9,,0.004664852,0.008264210000000001,0.008264210000000001,,0.00249778,,,,,0.00532199,0.0053963,0.0018439800000000003
type2,10,,0.005805222,0.01614342,0.01614342,,0.0022959600000000005,,,,,0.00180249,0.0011177,0.00766654
type2,11,,0.0051236960000000005,0.008919980000000001,0.008919980000000001,,0.00393094,,,,,0.00188792,0.00840781,0.0024718300000000004
type2,12,,0.0077616640000000015,0.013360900000000002,0.013360900000000002,,0.0044198300000000005,,,,,0.0117559,0.0074030499999999996,0.0018686400000000013
type2,13,,0.002039558,0.0029313199999999994,0.002267110000000001,,0.00248732,,,,,0.00115762,0.0013544200000000003,0.0029313199999999994
type2,14,,0.0032864700000000005,0.00579084,0.0010638699999999997,,0.00296859,,,,,0.00579084,0.0013726200000000006,0.00523643
type2,15,,0.0025570059999999997,0.00390248,0.00213464,,0.00246313,,,,,0.00096912,0.003315659999999999,0.00390248
type2,16,,0.003785932,0.00617964,0.0003429399999999999,,0.00617964,,,,,0.00495501,0.0014893300000000005,0.005962739999999999
type2,17,,0.004596726,0.0078017799999999995,0.00151278,,0.00501813,,,,,0.00745078,0.0012001599999999996,0.0078017799999999995
type2,18,,0.004329896,0.0076088300000000005,0.0028638299999999995,,0.00245936,,,,,0.00632773,0.0023897299999999996,0.0076088300000000005
type2,19,,0.003991042,0.0076683,0.0076683,,0.00018391999999999974,,,,,0.00155482,0.0030859800000000003,0.007462189999999999
type2,20,,0.002412304,0.00423074,0.0007395800000000001,,0.0039261,,,,,0.00423074,0.0020241200000000008,0.0011409799999999998
type2,21,,0.0029388380000000005,0.00829966,0.00829966,,0.00123083,,,,,0.00137348,0.00028323000000000063,0.0035069900000000015
type2,22,,0.002715888,0.00449453,0.0010843399999999996,,0.00449453,,,,,0.00272372,0.0015386400000000008,0.0037382100000000005
type2,23,,0.0043679899999999995,0.008969709999999999,0.008969709999999999,,0.0059635,,,,,0.0032419,0.0018448299999999996,0.0018200099999999986
type2,24,,0.00395737,0.00702084,0.0026714399999999998,,0.00253398,,,,,0.00450493,0.003055659999999999,0.00702084
type2,25,,0.004549730000000001,0.007374719999999998,0.004339850000000006,,0.0013158500000000004,,,,,0.00560286,0.00411537,0.007374719999999998
type2,26,,0.0023359540000000003,0.0046708900000000005,0.0017558000000000018,,0.0042733,,,,,0.00047702,0.0005027600000000001,0.0046708900000000005
type2,27,,0.004086895999999998,0.0074204200000000005,0.005174229999999988,,0.00046856999999999975,,,,,0.00302484,0.00434642,0.0074204200000000005
type2,28,,0.0018906879999999987,0.0051598600000000005,0.0017481699999999933,,0.00141375,,,,,0.00102443,0.00010722999999999983,0.0051598600000000005
type2,29,,0.004536224000000001,0.011493230000000007,0.011493230000000007,,0.0007788299999999995,,,,,0.00152532,0.00464885,0.00423489
type2,30,,0.0048432760000000005,0.00896391,0.006693270000000001,,0.0020585699999999996,,,,,0.00896391,9.052000000000018e-05,0.006410109999999999
type2,31,,0.003976032,0.00597437,0.00245128,,0.00229182,,,,,0.00513294,0.00402975,0.00597437
type2,32,,0.006962056000000001,0.012187910000000003,0.012187910000000003,,0.00453284,,,,,0.01207031,0.00141662,0.004602600000000002
type2,33,,0.00422317,0.00670771,0.00439734,,0.0007893399999999995,,,,,0.00670771,0.00322251,0.005998949999999999
type2,34,,0.007864966,0.01495621,0.010421849999999996,,0.0057134099999999995,,,,,0.01495621,0.00348243,0.00475093
type2,35,,0.006656058000000001,0.01183306,0.01183306,,0.0036668200000000003,,,,,0.00949635,0.0015709300000000003,0.0067131299999999994
type2,36,,0.00671273,0.02091912,0.004757860000000003,,0.00057324,,,,,0.02091912,0.00528589,0.0020275399999999996
type2,37,,0.00394596,0.00573344,0.00484391,,0.0027925,,,,,0.00227559,0.00573344,0.004084360000000002
type2,38,,0.0029657600000000004,0.00665968,0.004382770000000001,,0.0017893100000000001,,,,,0.00665968,0.0010261699999999999,0.0009708700000000021
type2,39,,0.00324116,0.005513509999999999,0.005513509999999999,,0.0029077499999999997,,,,,0.00043977,0.0032265400000000004,0.004118229999999997
type2,40,,0.003704458,0.00793464,0.004259579999999999,,0.0024942099999999997,,,,,0.00793464,0.00218479,0.0016490700000000025
type2,41,,0.003594796,0.00631491,0.00415424,,0.00205476,,,,,0.00631491,0.0007461100000000003,0.00470396
type2,42,,0.005512256000000001,0.01608675,0.00873173,,4.373000000000007e-05,,,,,0.01608675,0.0023569499999999996,0.0003421200000000013
type2,43,,0.0021846919999999994,0.004284919999999999,0.0012966099999999993,,0.00399098,,,,,0.00011756,0.004284919999999999,0.0012333899999999974
type2,44,,0.005258324,0.00867066,0.00540397,,0.0003470700000000001,,,,,0.00692615,0.00867066,0.004943769999999997
type2,45,,0.0018218020000000002,0.00428324,0.0011223500000000011,,0.00428324,,,,,0.00106736,0.00210022,0.0005358399999999992
type2,46,,0.004598748,0.00606193,0.00602333,,0.00245327,,,,,0.00480152,0.00606193,0.0036536899999999976
type2,47,,0.003922831999999999,0.0069286899999999995,0.003602479999999999,,0.0069286899999999995,,,,,0.00166399,0.00319906,0.004219939999999998
type2,48,,0.00310811,0.0055933300000000005,0.0037356000000000004,,0.00211237,,,,,0.00051635,0.003582899999999999,0.0055933300000000005
type3,1,,0.011784470000000002,0.028087530000000006,0.028087530000000006,,0.01774482,,,,,0.00579401,0.0052029,0.0020930899999999997
type3,2,,0.012425424000000003,0.04208750000000001,0.04208750000000001,,0.00419399,,,,,0.00111565,0.01103176,0.0036982200000000003
type3,3,,0.009609898000000002,0.022152960000000006,0.022152960000000006,,0.00880341,,,,,0.01011334,0.00629964,0.0006801400000000001
type3,4,,0.010604104,0.03516019,0.03516019,,0.006875490000000001,,,,,0.00618887,0.0013947,0.0034012700000000005
type3,5,,0.004304888000000001,0.0071468899999999995,0.00235196,,0.0071468899999999995,,,,,0.00536146,0.00107154,0.005592590000000001
type3,6,,0.0050018300000000005,0.0136433,0.003852669999999999,,0.0136433,,,,,0.00193348,0.00542851,0.0001511900000000007
type3,7,,0.004766596,0.01633614,0.00253248,,0.0014690299999999996,,,,,0.01633614,0.00193951,0.00155582
type3,8,,0.0051221719999999995,0.0102891,0.0043328399999999975,,0.00435842,,,,,0.0102891,0.00457218,0.00205832
type3,9,,0.008908000000000001,0.013245070000000001,0.007571029999999999,,0.013245070000000001,,,,,0.00080437,0.01112362,0.01179591
type3,10,,0.0049101200000000005,0.005807059999999999,0.00334159,,0.0048966800000000005,,,,,0.00571124,0.00479403,0.005807059999999999
type3,11,,0.006101012,0.01847994,0.0036745999999999992,,0.00014307999999999986,,,,,0.01847994,0.005413319999999999,0.00279412
type3,12,,0.006102761999999999,0.014295889999999999,0.004315970000000001,,0.014295889999999999,,,,,0.00645333,0.00486585,0.0005827699999999998
type3,13,,0.005886404,0.00847845,0.00527115,,0.0039445,,,,,0.00558459,0.00847845,0.00615333
type3,14,,0.0015484460000000002,0.00716472,0.00716472,,0.00015773999999999996,,,,,7.741e-05,8.741000000000044e-05,0.0002549500000000003
type3,15,,0.005084244,0.01009159,0.0008785199999999998,,0.00698858,,,,,0.01009159,0.00536839,0.0020941399999999995
type3,16,,0.005318048,0.01180726,0.00385048,,0.0019396700000000001,,,,,0.00448588,0.01180726,0.004506949999999999
type3,17,,0.008123056,0.0169582,0.013736440000000003,,0.00375129,,,,,0.00528062,0.0008887300000000001,0.0169582
type3,18,,0.010451642,0.023271929999999996,0.023271929999999996,,0.00499544,,,,,0.00681518,0.0059887099999999995,0.01118695
type3,19,,0.005520870000000002,0.012770650000000008,0.012770650000000008,,0.0024681500000000006,,,,,0.00452118,0.00100008,0.006844289999999999
type3,20,,0.007568419999999999,0.02360312,0.02360312,,0.0036067900000000003,,,,,0.00023844,0.0003196499999999999,0.010074099999999999
type3,21,,0.005723026000000001,0.012984510000000005,0.012984510000000005,,0.00382238,,,,,0.00676024,0.00024748999999999995,0.00480051
type3,22,,0.0049931479999999985,0.011990379999999995,0.011990379999999995,,0.0022559099999999994,,,,,0.00630248,0.0007020500000000005,0.00371492
type3,23,,0.007371878,0.023811890000000002,0.023811890000000002,,0.00368983,,,,,0.00199795,0.0031249100000000003,0.0042348099999999994
type3,24,,0.006721147999999999,0.012773269999999996,0.012773269999999996,,0.0040815899999999995,,,,,0.0043764,0.00932304,0.00305144
type3,25,,0.009858364,0.02589113,0.02589113,,0.00650342,,,,,0.00090422,0.013625230000000002,0.0023678199999999996
type3,26,,0.00975202,0.023683580000000003,0.023683580000000003,,0.008729800000000001,,,,,0.01030887,0.0005294799999999997,0.0055083699999999985
type3,27,,0.010005645999999998,0.02324101,0.02324101,,0.00830536,,,,,0.000338,0.00740439,0.01073947
type3,28,,0.005730346,0.015377249999999999,0.015377249999999999,,2.059999999999996e-05,,,,,0.00766627,0.00537604,0.00021156999999999947
type3,29,,0.008786328000000001,0.02151575,0.02151575,,0.00773663,,,,,0.01089865,0.00060217,0.003178440000000001
type3,30,,0.00680447,0.01506475,0.01506475,,0.0014171000000000001,,,,,0.00955977,0.00336347,0.004617259999999998
type3,31,,0.010246762000000001,0.01945383,0.01945383,,0.00536655,,,,,0.00692353,0.01141293,0.008076970000000001
type3,32,,0.007288942,0.018314959999999998,0.018314959999999998,,0.00229773,,,,,0.00414178,0.01023933,0.0014509099999999997
